park_id,name,area_m2,greenspace_type,mean_woody,mean_grass,total_veg_idx,woody_ratio,grass_ratio,structure_cat,condition,clase,comuna,temp_am_c,temp_af_c,temp_pm_c,area_ha,stgohot_decile_mean,woody_decile,temp_decile,length_decile,priority_score,sampling_priority
399,Plaza Renacimiento,5318.74127481,Lawn Park,0.09122620522975922,0.03715416043996811,0.12838036566972733,0.7100400497323152,0.28918162122512087,High Woody Cover,Good condition,PLAZA,LAS CONDES,18.386838912963867,31.299999237060547,29.299999237060547,0.53,7,6,5,NA,5.5,P5 — Intermediate
415,Plaza Las Condesas,8296.55000107,Lawn Park,0.09830556809902191,0.031716592609882355,0.13002216070890427,0.7554867484789227,0.24374474291766038,High Woody Cover,NA,NA,NA,16.27678108215332,30.482566833496094,28,0.83,6,10,1,NA,5.5,P3 — Forest + Cool
436,Plaza Santa Anita,6105.24983027,Lawn Park,0.07489240169525146,0.030801570042967796,0.10569397173821926,0.7079080259938454,0.2911467405646175,High Woody Cover,Good condition,PLAZA,LO PRADO,18.815265655517578,31.844770431518555,29.299999237060547,0.61,7,5,6,NA,5.5,P5 — Intermediate
454,Plaza Vía Láctea,5601.75973946,Lawn Park,0.08354692906141281,0.02976188436150551,0.11330881342291832,0.7366881509451465,0.26243008337031987,High Woody Cover,Good condition,PLAZA,LAS CONDES,17.561941146850586,30.436443328857422,29.11528778076172,0.56,6,10,1,NA,5.5,P3 — Forest + Cool
457,Plaza Avda. Padre Esteban Gumucio,7091.40160793,Lawn Park,0.06906741857528687,0.029146671295166016,0.09821408987045288,0.7025180080118327,0.2964648437835531,High Woody Cover,Poor condition,PLAZA,LA GRANJA,19.266977310180664,31.76946449279785,29.578048706054688,0.71,7,4,7,NA,5.5,P5 — Intermediate
486,Plaza Uruguay,7532.24618102,Lawn Park,0.07417856156826019,0.03214791417121887,0.10632647573947906,0.6969934976503552,0.3020668865321973,High Woody Cover,Good condition,PLAZA,PROVIDENCIA,19.44443130493164,31.9002628326416,29.52110481262207,0.75,7,3,8,NA,5.5,P2 — Grass + Hot
512,Plaza Islote Snipe,5370.5906957,Lawn Park,0.06356742233037949,0.02798973210155964,0.09155715443193913,0.693534757044875,0.305374220649013,High Woody Cover,Good condition,PLAZA,EL BOSQUE,18.342321395874023,31.352724075317383,28.200000762939453,0.54,7,2,9,NA,5.5,P2 — Grass + Hot
514,Plaza Augusto D'Halmar,5394.90843313,Lawn Park,0.07568202167749405,0.03290849179029465,0.1085905134677887,0.6963075181342576,0.30277243836967743,High Woody Cover,Good condition,PLAZA,NUNOA,19.065475463867188,32.1988525390625,29.49185562133789,0.54,7,2,9,NA,5.5,P2 — Grass + Hot
544,Plaza Pedro Aguirre Cerda,9339.64371629,Lawn Park,0.084571734070777893,0.030925290659070015,0.11549702472984791,0.7316082249385171,0.2675267008934089,High Woody Cover,Good condition,PLAZA,SAN BERNARDO,18.299999237060547,31.09414291381836,27.900821685791016,0.93,6,9,2,NA,5.5,P3 — Forest + Cool
109,PLAZA ANIBAL LARRAIN,7509.39736397,Lawn Park,0.08971807360649109,0.03328526020050049,0.12300333380699158,0.7288029562802596,0.2703847180344199,High Woody Cover,NA,NA,NA,17.610591888427734,30.469343185424805,28.976009368896484,0.75,6,9,1,NA,5,P3 — Forest + Cool
148,PLAZA QUINTA BELLA II,9199.42958775,Lawn Park,0.06716455519199371,0.027185164391994476,0.09434971958398819,0.7111143949164243,0.2878268406908336,High Woody Cover,Poor condition,PLAZA,RECOLETA,18.98643684387207,33.0522575378418,30.255462646484375,0.92,7,6,4,NA,5,P5 — Intermediate
174,PLAZA DE LOS ARTESANOS,5873.22023531,Lawn Park,0.09013327956199646,0.033298201858997345,0.1234314814209938,0.7296381337387458,0.2695523560145569,High Woody Cover,NA,NA,NA,17.027755737304688,31.091440200805664,28.0982666015625,0.59,6,9,1,NA,5,P3 — Forest + Cool
435,Plaza Waldo Taff,6550.16427558,Lawn Park,0.0649539902806282,0.027449756860733032,0.09240374714136124,0.7021768554020587,0.2967421073092877,High Woody Cover,Poor condition,PLAZA,LO PRADO,20.05815315246582,31.97313690185547,29.727890014648438,0.66,7,4,6,NA,5,P5 — Intermediate
453,Plaza El Llano,5117.65822213,Lawn Park,0.07046029716730118,0.030202915892004967,0.10066321305930614,0.6992660816187988,0.2997414927035768,High Woody Cover,Good condition,PLAZA,SAN MIGUEL,19.86363410949707,32.082950592041016,28.281455993652344,0.51,7,3,7,NA,5,P5 — Intermediate
460,Plaza Vicuña Mackenna,6712.03045196,Lawn Park,0.07546713203191757,0.032454486936330795,0.10792161896824837,0.6986298923560867,0.3004443670287,High Woody Cover,Good condition,PARQUE,SAN RAMON,19.80173110961914,31.820293426513672,29.686302185058594,0.67,7,3,7,NA,5,P5 — Intermediate
472,Plaza Ecuador,6762.99337518,Lawn Park,0.062675580382347107,0.02722795307636261,0.08990353345870972,0.6963679977197822,0.30252093479034114,High Woody Cover,Poor condition,PLAZA,SAN RAMON,19.359987258911133,31.69999885559082,28.963823318481445,0.68,7,2,8,NA,5,P2 — Grass + Hot
