condition,park_id,name,area_m2,greenspace_type,mean_woody,mean_grass,total_veg_idx,woody_ratio,grass_ratio,structure_cat,clase,comuna,temp_am_c,temp_af_c,temp_pm_c,area_ha,stgohot_decile_mean,woody_decile,temp_decile,length_decile,priority_score,sampling_priority
Good condition,99,PLAZA ARTES GRAFICAS,9027.50547221,Lawn Park,0.07293333858251572,0.029866676777601242,0.10280001536011696,0.7087786948065312,0.2902494880401862,High Woody Cover,PLAZA,SAN MIGUEL,19.410995483398438,31.65376853942871,28.682544708251953,0.9,7,4,3,NA,3.5,P5 — Intermediate
Good condition,245,PLAZA MARATHON 2,6610.82316049,Lawn Park,0.06483953446149826,0.027212081477046013,0.09205161593854427,0.7036179865227715,0.2952968453119009,High Woody Cover,BANDEJON,NUNOA,19.255949020385742,32.38273620605469,29.617643356323242,0.66,7,3,4,NA,3.5,P5 — Intermediate
Good condition,258,PLAZA HONDURAS,6253.47414025,Lawn Park,0.07488921284675598,0.031344518065452576,0.10623373091220856,0.7042846348407181,0.29477492980408343,High Woody Cover,PLAZA,VITACURA,18.095741271972656,31.102828979492188,29.414674758911133,0.63,7,3,4,NA,3.5,P5 — Intermediate
Good condition,300,PLAZA NUEVA DELHI,6905.11489015,Lawn Park,0.07444319874048233,0.031513962894678116,0.10595716163516045,0.7019158121218535,0.2971413001140556,High Woody Cover,PLAZA,LA REINA,17.79261589050293,31.716352462768555,29.546781539916992,0.69,7,3,4,NA,3.5,P5 — Intermediate
Good condition,398,Plaza Jorge Montt,8683.13955583,Lawn Park,0.07468389719724655,0.03254510089755058,0.10722899809479713,0.6958408121100956,0.30322747323892363,High Woody Cover,PLAZA,SANTIAGO,19.909147262573242,32.12216567993164,28.999998092651367,0.87,7,2,5,NA,3.5,P5 — Intermediate
Good condition,410,Plaza Juan Antonio Ríos 2,7594.41335797,Lawn Park,0.07020656019449234,0.03089817799627781,0.10110473819077015,0.6937082339183914,0.30530367005184067,High Woody Cover,PLAZA,INDEPENDENCIA,20.328712463378906,31.908029556274414,29.629331588745117,0.76,7,1,6,NA,3.5,P5 — Intermediate
Good condition,471,Plaza Aucanquilcha oriente,7827.80133287,Lawn Park,0.07495791465044022,0.029361726716160774,0.10431964136660099,0.7178526345180092,0.2811896912485684,High Woody Cover,PLAZA,LAS CONDES,16.872262954711914,31.399999618530273,29.5,0.78,6,6,1,NA,3.5,P5 — Intermediate
Good condition,76,PLAZA REPUBLICA DE CHIPRE,5288.78529132,Lawn Park,0.08134762197732925,0.03342881798744202,0.11477643996477127,0.7081314671857504,0.2909980323005614,High Woody Cover,PLAZA,VITACURA,18.000850677490234,31.321603775024414,29.405012130737305,0.53,7,4,2,NA,3,P5 — Intermediate
Good condition,116,PLAZA LA REINA,6186.21481071,Lawn Park,0.07495306432247162,0.03164878115057945,0.10660184547305107,0.7024533080020812,0.2966095010847095,High Woody Cover,PLAZA,LA REINA,17.980173110961914,31.61144256591797,29.530109405517578,0.62,7,3,3,NA,3,P4 — Grass + Cool
Good condition,144,PLAZA GARIN,9284.27692219,Lawn Park,0.06732599437236786,0.02805185131728649,0.09537784568965435,0.7051478160829834,0.2938048205283929,High Woody Cover,PLAZA,QUINTA NORMAL,18.789228439331055,31.990140914916992,29.700002670288086,0.93,7,3,3,NA,3,P4 — Grass + Cool
